FID,OBJECTID,AREA,PERIMETER,NEWDIO_,NEWDIO_ID,ID,Shape_Leng,Shape_Area,Shape__Area,Shape__Length
43,44,32.7909001694,35.2418900351,45,0,0,36.2440481913,33.2457508245,536600524520.759,4334241.67046483
44,45,2.54097328758,7.9572258156,46,0,0,7.95723096066,2.5409736104,41168474305.7986,1043330.15799263
45,47,0.04053914175,0.761078452263,48,0,0,0.761078452263,0.04053914175,662498632.826172,96455.3770099143
46,48,0.0126647887744,0.491965369043,49,0,0,0.491961182511,0.012664695,207144443.199219,58163.7254973053
47,49,0.00762091396304,0.340487415494,50,0,0,0.340493017349,0.00762108374998,124431297.423828,42490.9993144325
48,50,17.015850749,27.8249957912,51,0,0,27.8249940271,17.0158511062,269042483346.561,3417536.81947675
49,51,0.0128549860535,0.463286638909,52,0,0,0.463289014307,0.01285505265,209405767.448242,56624.8365000828
50,52,0.0416749393234,1.22472779682,53,0,0,1.22472953854,0.0416749428501,677023485.198242,149229.77931425
51,53,0.0229646616,0.646134654168,54,0,0,0.646134654168,0.0229646616,372394655,78257.4154955877
52,54,0.0393411174893,1.03871953585,55,0,0,1.0387182572,0.0393410877501,636636305.923828,128698.991454094
53,55,0.0763566442,1.2861402632,56,0,0,1.2861402632,0.0763566442,1234676187.42175,157720.598781905
54,56,0.0523421028964,1.15877689316,57,0,0,1.15877898976,0.05234211395,845679004.40625,148731.806350436
55,57,0.3842964032,3.08850257679,58,0,0,3.08850257679,0.3842964032,6182484980.09277,382630.52330838
56,58,0.00251427930003,0.246149377123,59,0,0,0.246149377123,0.00251427930003,40619180.800293,30146.38316856
57,59,0.0586554865,1.10782142372,60,0,0,1.10782142372,0.0586554865,944359562.266602,144520.958969234
58,60,0.00274986540003,0.210647041968,61,0,0,0.210647041968,0.00274986540003,44183059.5332031,26702.8481559656
59,61,0.180277820241,1.83587940119,62,0,0,1.8358781692,0.18027795655,2881938823.28906,224024.14554892
60,62,0.00325750920008,0.283349123836,63,0,0,0.283349123836,0.00325750920008,52051641.2929688,37365.4943951301
61,63,0.00274245604774,0.24596779088,64,0,0,0.245970972801,0.00274255384999,43803740.6289063,31298.256184556
62,64,0.0569005682501,1.03890585673,65,0,0,1.03890585673,0.0569005682501,907159596.060669,128604.046120728
63,65,0.404169610866,4.78063916649,66,0,0,4.78063139128,0.40416863555,6404681027.66992,585502.752335259
64,66,0.0216758009999,0.674541440887,67,0,0,0.674541440887,0.0216758009999,344932138.529297,85776.1771923992
65,68,0.0227476270992,0.628461657101,69,0,0,0.628461663062,0.0227476213501,361553912.901855,83103.5991541452
66,69,0.0275577821248,0.657082606996,70,0,0,0.657076599196,0.0275576005999,437598401.927734,83601.0188646121
67,70,0.00286900740006,0.216152557591,71,0,0,0.216152557591,0.00286900740006,45477726.0546875,27565.9712601884
68,71,0.0785151774499,1.3140388119,72,0,0,1.3140388119,0.0785151774499,1241457070.67871,167299.654413052
69,72,0.0160893478404,0.507981158565,73,0,0,0.507972584091,0.0160887032,254635342.819336,63040.7528037957
70,73,0.00722350680032,0.354873751204,74,0,0,0.354873873966,0.00722327415003,114210668.807617,45902.6514680622
71,74,0.0842371799463,1.4720695938,75,0,0,1.47207728996,0.0842372834501,1328782839.43848,186247.743754398
72,77,2.59466523321,8.84680096664,78,0,0,8.84679957039,2.59466517045,40586464468.7388,1076930.35044341
73,78,0.00917063140712,0.422843426939,79,0,0,0.422846640951,0.00917067719998,144137936.735352,53911.6471931718
74,79,108.486009459,87.4374635212,80,0,0,96.0042292375,101.016947418,1470090224462,11438635.9868062
75,80,0.0368469532001,0.902420294547,81,0,0,0.902420294547,0.0368469532001,578353188.383789,113856.809842922
76,81,0.0342892092999,0.768847046825,82,0,0,0.768847046825,0.0342892092999,537763036.649414,94773.9544484217
77,82,0.0128600659888,0.456256242201,83,0,0,0.456259535066,0.0128602226,201507926.674438,58629.4726180631
78,83,0.0506575348497,1.10278429066,84,0,0,1.10278429066,0.0506575348497,793880297.756836,129690.488390647
79,84,0.00493059770005,0.279904398051,85,0,0,0.279904398051,0.00493059770005,77264619.2597656,34321.3150638442
80,85,0.0244618345191,0.811319104277,86,0,0,0.811309780207,0.0244615878001,382640871.189453,97493.7951878294
81,86,0.0118763375,0.427201109457,87,0,0,0.427201109457,0.0118763375,185791873.62207,54638.7720281257
82,87,0.0184394466597,0.602811482233,88,0,0,0.602808447208,0.0184393812999,288429969.947266,73299.2336844452
83,88,0.00795406705007,0.366851284333,89,0,0,0.366851284333,0.00795406705007,124090095.06543,48551.8225262712
84,89,0.00532792279333,0.29847888702,90,0,0,0.298483053439,0.00532806270006,83155510.4013672,37759.0398076018
85,90,67.2570116619,59.3418969489,91,0,0,57.8793348966,63.5186553592,948354009575.96,6759352.38195369
86,91,0.0109621345001,0.394768719104,92,0,0,0.394768719104,0.0109621345001,170549123.774902,48952.2387347599
87,92,0.00489307435,0.277768300132,93,0,0,0.277768300132,0.00489307435,76092639.9160156,34569.9879400803
88,93,0.040864839567,0.74395624753,94,0,0,0.743956266371,0.0408648383999,634622297.308594,95094.7456936271
89,94,0.0190345347395,0.526961985551,95,0,0,0.526956609851,0.0190342731499,295588008.326172,65775.8920686525
90,95,0.00768496575001,0.345881751255,96,0,0,0.345881751255,0.00768496575001,119242727.664063,43408.6889404451
91,96,0.0238612704071,0.709600919238,97,0,0,0.709600290289,0.02386125645,369505766.300781,85797.8838508796
92,97,0.0039630772861,0.27207407938,98,0,0,0.272081457174,0.00396319379995,61360310.9404297,33777.4873524255
93,98,0.0025203623991,0.236995974448,99,0,0,0.236996691885,0.00252037580004,39002246.8261719,29059.6597526165
94,99,0.00651496059997,0.375112148628,100,0,0,0.375112148628,0.00651496059997,100756801.237305,47550.2878771891
95,100,0.00509571610128,0.332351937296,101,0,0,0.332357324172,0.00509585449999,78837139.0244141,39037.3802795567
96,101,0.00841943144992,0.396356830966,102,0,0,0.396356830966,0.00841943144992,130173130.735352,50442.5904773135
97,102,0.022525824,0.666111788177,103,0,0,0.666111788177,0.022525824,348232695.208984,80151.3696428773
98,103,0.0161815315713,0.578408716066,104,0,0,0.578406183261,0.0161819349,250125868.362305,69915.8646933628
99,104,0.00724588145,0.345301846018,105,0,0,0.345301846018,0.00724588145,111848629.662109,43917.0521049522
100,105,0.00627853336919,0.320734879964,106,0,0,0.320737090258,0.00627859359999,96860917.4287109,39142.2755414712
101,106,0.13763106525,1.70354388164,107,0,0,1.70354388164,0.13763106525,2113233419.18652,212319.539181175
102,107,0.00261290757237,0.233812818521,108,0,0,0.233806204571,0.00261273955,40226849.5673828,28960.9390681438
103,108,0.0233376037326,0.614988909212,109,0,0,0.614981902048,0.0233374281,358600617.94043,79330.6307199144
104,109,0.0236627815499,0.625879998099,110,0,0,0.625879998099,0.0236627815499,362082551.971191,75705.4162662851
105,111,0.0254543613654,0.776424943075,112,0,0,0.776427468971,0.0254544125999,387740549.705078,100021.333452883
106,112,0.841960366935,6.93056546008,113,0,0,6.93056875485,0.8419605113,12773120542.6543,816691.294793516
107,113,0.914682716646,5.65199860299,114,0,0,5.65199346973,0.91468252415,13844862817.918,671329.583491425
108,115,0.00394990894296,0.271693263005,116,0,0,0.271689724349,0.00394983569996,60025986.8173828,32742.6983385371
109,116,0.0443042986,0.829491447725,117,0,0,0.829491447725,0.0443042986,660785372.667969,101146.773657932
110,118,0,0,0,0,0,12.7778718637,5.33036258265,80309082529.6935,1530241.30191582
111,119,0,0,0,0,0,15.6504379636,11.4548727087,203623097677.231,2044999.22743864
112,120,0,0,0,0,0,1.88159187326,0.17181348265,3431588031.29053,239438.03923782
